original_audio,genre,total_samples,real_count,fake_count,split
A Dark Blue Arc - Pipe Choir,Rock,7,1,6,train
A Different World By Night - Nihilore,Electronic,6,1,5,train
A Lady In Red With A Plan To Steal - Did You Just Hex Me?,Rock,7,1,6,train
Acoustic Unleashed - Remain,Electronic,17,1,16,train
Ad Astra - P C III,Electronic,17,1,16,train
All of Us - Eric Skiff,Electronic,17,1,16,train
Ancient Whispers I - P C III,Electronic,6,1,5,train
And Over The Rainbows - milky-chu,Electronic,6,1,5,train
Apparitions Under Glass - Sarin,Rock,7,1,6,train
"Aquamarine, My Distant Blue - Nihilore",Electronic,17,1,16,train
Artificial anxiety - Michett,Electronic,6,1,5,train
As Nihilism Gives Way To Existentialism - Nihilore,Electronic,6,1,5,train
Authenticity - Nihilore,Electronic,6,1,5,train
Autobahn - S-B-J,Electronic,17,1,16,train
"Autopsy - Oh Yeah, the Future",Pop,16,1,15,train
Bergwald Bergwald - Every Now and Every Then,Rock,7,1,6,train
Better Run Away From Me - Miss Derringer,Rock,7,1,6,train
Black Panda - The Crypts!,Rock,7,1,6,train
Breathe New Life - Scott Holmes,Rock,6,1,5,train
Breeze Funk - Malaventura,Pop,17,1,16,train
Burn - Room For A Ghost,Rock,7,1,6,train
Busby Berkeley - Ergo Phizmiz,Pop,17,1,16,train
Cassie Lace - The Zombie Dandies,Rock,7,1,6,train
Celia - Ergo Phizmiz,Pop,17,1,16,train
Chipho instrumental - RoccoW,Electronic,2,1,1,train
Clay Heart - Nihilore,Electronic,17,1,16,train
Cloudy - Subway Sonicbeat,Electronic,6,1,5,train
Cold Chains - Rolemusic,Electronic,17,1,16,train
Coliidae - K.D. Expression,Electronic,16,1,15,train
Colossal Stillness - Scott Holmes,Rock,18,1,17,train
Convicted Jazz Drones - Malaventura,Pop,17,1,16,train
Crossing - Los Llamarada,Rock,17,1,16,train
Dance of the Martians (SynthStep Edit) - Maxim Kornyshev,Electronic,6,1,5,train
Demolition - Michett,Rock,7,1,6,train
Digital Lightning - Cloudkicker,Rock,17,1,16,train
Don't want to be your man - Frigg A Go Go (F.A.G.G.),Rock,7,1,6,train
Dr Deimos-Scribble - Mizuki's Last Chance/Dr Deimos,Electronic,6,1,5,train
Dr. Bodysnatcher - Modey Lemon,Rock,6,1,5,train
Dreams - ENDRUDARK,Electronic,6,1,5,train
Edge - Mystery Mammal,Electronic,16,1,15,train
Electric Girlfriend - The Zombie Dandies,Rock,7,1,6,train
Empower Thee - vargero,Electronic,17,1,16,train
End of the Line - H-LR,Electronic,7,1,6,train
Endless - The Birth and Death of Silence,Electronic,17,1,16,train
Enemy - Modey Lemon,Rock,6,1,5,train
Enthalpy - Rolemusic,Electronic,6,1,5,train
Eyes Getting Louder - Mod Fun,Rock,7,1,6,train
"First Glance - Oh Yeah, the Future",Pop,15,1,14,train
Five 40 Derby/Slow Whistle - The Crypts!,Rock,7,1,6,train
Flashback - Seclorance,Electronic,16,1,15,train
Fleslit - Fleslit,Electronic,7,1,6,train
Fly 2 - Andre Jetson,Electronic,6,1,5,train
Food and War - Ergo Phizmiz,Pop,17,1,16,train
Forest Silence - Serpentarivm,Rock,17,1,16,train
Formic Acid for Blood - Punk Rock Opera,Rock,17,1,16,train
Four and a Half Tatami - Nihilore,Electronic,6,1,5,train
Fridge - Railkid Station,Rock,6,1,5,train
Gloomy Sunday - AmortE,Rock,6,1,5,train
"Go On, Then - Jim Rooster",Electronic,17,1,16,train
Hahaha - The Moi Non Plus,Rock,6,1,5,train
Half a Doubt - Droopies,Rock,7,1,6,train
Hammer and a Nail - Vienna Ditto,Electronic,17,1,16,train
Happy - Lamprey,Rock,6,1,5,train
Hisko Detria - Hisko Detria,Rock,7,1,6,train
I - Nocturnal Mayhem,Rock,17,1,16,train
I Can See Everything - Mod Fun,Rock,7,1,6,train
I Close My Eyes - Miss Derringer,Rock,7,1,6,train
I Dream So Vividly - Uninhabitable Mansions,Rock,17,1,16,train
I Know His Blood - Vienna Ditto,Electronic,6,1,5,train
I Think From Now On - Caleb Lemond,Pop,17,1,16,train
I'm gonna try to reach - Los Llamarada,Rock,7,1,6,train
Improvisation - Broken Chord,Electronic,17,1,16,train
Infinite Light - Pipe Choir,Rock,17,1,16,train
Insectlaration of Independence - Punk Rock Opera,Rock,7,1,6,train
Introduction beats - Itsensäsyöjät,Electronic,17,1,16,train
Invaders From Within - Monroeville Music Center,Pop,17,1,16,train
It Can't Be Bargained With - Three Chain Links,Electronic,6,1,5,train
Jangus (inspired by ToeJam and Earl) - UncleBibby,Electronic,17,1,16,train
John the Baby - Ergo Phizmiz,Pop,17,1,16,train
Johnny I Lie - The Moi Non Plus,Rock,16,1,15,train
KISS my Boots - The Zombie Dandies,Rock,7,1,6,train
KOMFORT - voyageurs,Rock,17,1,16,train
Key trick - Krisa,Electronic,6,1,5,train
Killing Bosses - Gumbel,Electronic,6,1,5,train
Kissing Scars - Caleb Lemond,Pop,17,1,16,train
La Nina Blanca - Vienna Ditto,Electronic,6,1,5,train
"Lackadaisical - Oh Yeah, the Future",Pop,16,1,15,train
Lady Love - Parsley Flakes,Rock,7,1,6,train
Laika - NGC 1365,Electronic,6,1,5,train
Let's the kids play - Malaventura,Pop,8,1,7,train
Liar Liar Quietly - Vienna Ditto,Electronic,6,1,5,train
Liberation is not Easy - Frigg A Go Go (F.A.G.G.),Rock,7,1,6,train
Liberosis - Nihilore,Electronic,6,1,5,train
Little Fingers - Vienna Ditto,Electronic,6,1,5,train
Lost In The Music (D-Smilez Mix) - D SMILEZ,Electronic,5,1,4,train
Lost Paradise - Autumn Interlude,Rock,17,1,16,train
"Lovedreams - Oh Yeah, the Future",Pop,16,1,15,train
Mandrill - Ergo Phizmiz,Pop,17,1,16,train
Mettle - Pipe Choir,Rock,17,1,16,train
Millitary Industrial Complex - Punk Rock Opera,Rock,17,1,16,train
Monkeystage - Ergo Phizmiz,Pop,17,1,16,train
Moontime - The IMG,Rock,7,1,6,train
Mosque - Sarin,Rock,7,1,6,train
Mountain Mist - Modey Lemon,Rock,16,1,15,train
Natron Queen - AmortE,Rock,6,1,5,train
Nature Is Over / Defined - Bird Names,Pop,18,1,17,train
"New Brave Face - Oh Yeah, the Future",Pop,9,1,8,train
Niche Dreams - Square People,Rock,6,1,5,train
Noam Chomsky's Corporate Carbohydrate Surprise - Quelle Fromage,Electronic,17,1,16,train
Nose - DUSTdevils,Rock,17,1,16,train
Nostalgia - Malaventura,Pop,7,1,6,train
"November 25, 2007 - Kenneth Kirschner",Electronic,13,1,12,train
OOOTHERSIDE - Liquid Paper - Mike B. Fort,Electronic,17,1,16,train
OOOTHERSIDE - This Time - Mike B. Fort,Electronic,17,1,16,train
OST 04 Ship under attack - sawsquarenoise,Electronic,17,1,16,train
Ohtli - Seclorance,Electronic,17,1,16,train
Okiirobo Navigation System - Henry Homesweet,Electronic,17,1,16,train
On My Mind - Ergo Phizmiz,Pop,17,1,16,train
One Eyed Ghost/This is gonna be a rough show - The Crypts!,Rock,17,1,16,train
Only Instrumental - Broke For Free,Electronic,17,1,16,train
Outro - Caleb Lemond,Pop,7,1,6,train
Paris - Fleslit,Electronic,16,1,15,train
Polinesia - Malaventura,Pop,7,1,6,train
Ponky McFonky - My brother Daniel,Electronic,17,1,16,train
Promo Mix Vocal Edit (Luv Dub Mix) - Pierlo,Electronic,6,1,5,train
Reagan Shut Down the Asylums - Punk Rock Opera,Rock,7,1,6,train
Roach-Man - Punk Rock Opera,Rock,17,1,16,train
Robocall - Legally Blind,Rock,17,1,16,train
Robot Heart - Mystery Mammal,Electronic,17,1,16,train
Roland Garros 2048 - Zoliborz,Rock,17,1,16,train
Rolling On - Avaren,Electronic,6,1,5,train
Rumble - Railkid Station,Rock,6,1,5,train
Running Free - Michett featuring Kalipluche,Electronic,17,1,16,train
Scape from the city - Rolemusic,Electronic,6,1,5,train
Sea Monster - The Crypts!,Rock,16,1,15,train
Seppuku Bot - Decktonic,Electronic,17,1,16,train
Shadow Government - Bird Names,Pop,17,1,16,train
Sheffield Hall - Andy G. Cohen,Rock,7,1,6,train
Slot - Neotnas,Electronic,6,1,5,train
Slow and Steady - Caleb Lemond,Pop,7,1,6,train
Snakefirewalking - Los Llamarada,Rock,17,1,16,train
"Snowday - Oh Yeah, the Future",Pop,6,1,5,train
Soul of the Demon - Zombie Raiders,Rock,17,1,16,train
Space is my pace - Malaventura,Pop,7,1,6,train
Spanish BEEEYYAAACHHH - Malaventura,Pop,16,1,15,train
Stranger - Frigg A Go Go (F.A.G.G.),Rock,17,1,16,train
Straw Fields - Rolemusic,Electronic,17,1,16,train
Strongbreeze - Rowan Box,Electronic,6,1,5,train
TTL - Twin Heads,Electronic,6,1,5,train
Take It All - Mod Fun,Rock,6,1,5,train
Take Your Fingers - Michael Fakesch,Electronic,17,1,16,train
Tapes - Gumbel,Electronic,16,1,15,train
Tartu Tähän Hetkeen - Paavoharju,Electronic,6,1,5,train
The Big House - Jason Shaw,Electronic,17,1,16,train
The Boss - Multifaros,Electronic,6,1,5,train
The Cave of Time - Monroeville Music Center,Pop,16,1,15,train
The Coldest Winter - Caleb Lemond,Pop,17,1,16,train
The Contract - The IMG,Rock,17,1,16,train
The Courtyard - Uncle Bibby,Electronic,17,1,16,train
The Dawn - The One They Fear,Rock,7,1,6,train
The Dream and the Dreamer - Caleb Lemond,Pop,17,1,16,train
The Factory - Multifaros,Electronic,6,1,5,train
The Front Yard - HarleyLikesMusic,Electronic,17,1,16,train
The Monster Mash/Ya Look Fantastic - The Crypts!,Rock,7,1,6,train
The Queen - Malaventura,Pop,7,1,6,train
The Race Forever - Monroeville Music Center,Pop,17,1,16,train
The Reality Machine - Monroeville Music Center,Pop,18,1,17,train
The Sandman - Ergo Phizmiz,Pop,7,1,6,train
The plot - Malaventura,Pop,17,1,16,train
Time Up - ENDRUDARK,Electronic,6,1,5,train
Topam - Twin Heads,Electronic,6,1,5,train
Track 04 - Lightning Bolt,Rock,16,1,15,train
Transmit - Lamprey,Rock,16,1,15,train
Ugly - Vienna Ditto,Electronic,6,1,5,train
Unexpected Little Happenings - UltraCat,Electronic,6,1,5,train
Vanishing Horizon - Jason Shaw,Electronic,17,1,16,train
Variations - Decktonic,Electronic,3,1,2,train
Versailles - Pierce Murphy,Rock,7,1,6,train
WET DREAMS - voyageurs,Rock,7,1,6,train
Wake Up - The Moi Non Plus,Rock,6,1,5,train
We Are Canucks - David Blair,Pop,17,1,16,train
We Misplaced A Cobra In the Uninhabitable Mansions - Uninhabitable Mansions,Rock,7,1,6,train
We Move in Waves - Modey Lemon,Rock,16,1,15,train
When I Was Taller - Dan Deacon,Electronic,17,1,16,train
When Will We Ever Learn - Ontayso,Electronic,6,1,5,train
Windows of the Skull (Alternate Version) - Sarin,Rock,9,1,8,train
Wir Werden Gott - Japanische Kampfhorspiele,Rock,17,1,16,train
"With the Summer - Oh Yeah, the Future",Pop,7,1,6,train
Ynkelig - Die Morgendammerung Des Valhalla,Rock,17,1,16,train
Yoko live at FoEG - Emma Acs,Pop,17,1,16,train
You Are A Monster - Monroeville Music Center,Pop,17,1,16,train
Z-Saber (feat Jake Allison) - Decktonic,Electronic,5,1,4,train
danse macabre - Katapulto,Pop,16,1,15,train
gospellioza - Katapulto,Pop,16,1,15,train
karaoke megablast - Katapulto,Pop,7,1,6,train
kolorowe wody - Katapulto,Pop,17,1,16,train
mc trabalenguas - Volumina,Pop,17,1,16,train
philcollins takes your hand - Katapulto,Pop,17,1,16,train
purity & danger - Katapulto,Pop,20,1,19,train
shmoove - epsilon not,Electronic,6,1,5,train
zero rhythm dollar boy - Katapulto,Pop,17,1,16,train
Глазами Детей - Чокнутый Пропеллер,Rock,4,1,3,train
Кортни Лав - Чокнутый Пропеллер,Rock,3,1,2,train
2 (Wasn't There) - Isle of Pine,Rock,17,1,16,val
Agora - Malaventura,Pop,7,1,6,val
Beyond Luxury - Mors Ontologica,Rock,7,1,6,val
CopperNickle - UncleBibby,Electronic,17,1,16,val
Daylight Savings - My brother Daniel,Electronic,15,1,14,val
Empty Pockets - Pete Prodoehl,Rock,17,1,16,val
Evil Cannot Create - Caleb Lemond,Pop,17,1,16,val
Fear - Los Fancy Free,Rock,6,1,5,val
Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,Electronic,6,1,5,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,Rock,17,1,16,val
I Fell - Mod Fun,Rock,16,1,15,val
If You're Ther - Nicola Ratti,Electronic,6,1,5,val
Kumorizoranohajimarutokoro - Hosomi,Electronic,6,1,5,val
Lights Up - Pipe Choir,Rock,7,1,6,val
Loved Ones - Rowan Box,Electronic,6,1,5,val
March of the GPA Mechanics - [t]ghost,Rock,17,1,16,val
Morning Bell - Nihilore,Electronic,6,1,5,val
My Body Is A Weapon (Compromise Edit) - Silence is full of birds,Pop,8,1,7,val
New Life (take 1) - Bird Names,Pop,19,1,18,val
Night Drive - Decktonic,Electronic,17,1,16,val
Norweigian Wood II - Bird Names,Pop,17,1,16,val
Nuo Maisemat - Paavoharju,Electronic,16,1,15,val
Redlight - Room For A Ghost,Rock,7,1,6,val
Roller Star - Monroeville Music Center,Pop,17,1,16,val
"Roundtrip - Oh Yeah, the Future",Pop,16,1,15,val
SD (Ill Mix) - H-LR,Electronic,16,1,15,val
Scramby Eggs - Andy G. Cohen,Rock,17,1,16,val
Shipwrecked Crew - Pete Prodoehl,Rock,7,1,6,val
Soleares&beats - Malaventura,Pop,17,1,16,val
Stockholm Syndrome / People Should Be More Aware - Bird Names,Pop,18,1,17,val
Sturgeon's Law - Nihilore,Electronic,6,1,5,val
The Stairway - WarpToken,Electronic,6,1,5,val
The girl just faded - Los Llamarada,Rock,17,1,16,val
Three Bird - My brother Daniel,Electronic,6,1,5,val
Time Is Love - Silence is full of birds,Pop,17,1,16,val
Timen Passing By - Jason Shaw,Electronic,6,1,5,val
Understand That This Is A Dream - From the album Modulating Coil [RSVP008] - Forrest James,Electronic,6,1,5,val
Voxel - Andy G. Cohen,Rock,17,1,16,val
Westside Chillers - Little Glass Men,Electronic,6,1,5,val
Windows of the Skull - Sarin,Rock,15,1,14,val
mystery team 2090 - Jesse Futerman,Electronic,17,1,16,val
some dextromethorphan - Jeva,Electronic,6,1,5,val
В Наших Сердцах - Чокнутый Пропеллер,Rock,6,1,5,val
Новый Нью-Йорк 2 - Чокнутый Пропеллер,Rock,14,1,13,val
