track_id,original_audio,genre,zip_member,local_path,file_size,compressed_size,elapsed_sec,ok,status
47071,All of Us - Eric Skiff,Electronic,fma_large/047/047071.mp3,data/raw/FMA/selected_30s/047/047071.mp3,964153,958617,2.98,True,downloaded
111821,Ancient Whispers I - P C III,Electronic,fma_large/111/111821.mp3,data/raw/FMA/selected_30s/111/111821.mp3,1202191,1101440,3.19,True,downloaded
144723,And Over The Rainbows - milky-chu,Electronic,fma_large/144/144723.mp3,data/raw/FMA/selected_30s/144/144723.mp3,1201214,1109324,3.13,True,downloaded
113526,Apparitions Under Glass - Sarin,Rock,fma_large/113/113526.mp3,data/raw/FMA/selected_30s/113/113526.mp3,1176576,1168700,2.98,True,downloaded
134150,"Aquamarine, My Distant Blue - Nihilore",Electronic,fma_large/134/134150.mp3,data/raw/FMA/selected_30s/134/134150.mp3,1201209,1196952,2.8,True,downloaded
130129,Artificial anxiety - Michett,Electronic,fma_large/130/130129.mp3,data/raw/FMA/selected_30s/130/130129.mp3,1201232,1181622,2.89,True,downloaded
134148,As Nihilism Gives Way To Existentialism - Nihilore,Electronic,fma_large/134/134148.mp3,data/raw/FMA/selected_30s/134/134148.mp3,1202279,1198491,3.15,True,downloaded
118048,Attention - Pete Prodoehl,Rock,fma_large/118/118048.mp3,data/raw/FMA/selected_30s/118/118048.mp3,655361,650068,2.75,True,downloaded
140924,Authenticity - Nihilore,Electronic,fma_large/140/140924.mp3,data/raw/FMA/selected_30s/140/140924.mp3,1201196,1199979,3.01,True,downloaded
137049,Autobahn - S-B-J,Electronic,fma_large/137/137049.mp3,data/raw/FMA/selected_30s/137/137049.mp3,1200181,735619,2.63,True,downloaded
127294,"Autopsy - Oh Yeah, the Future",Pop,fma_large/127/127294.mp3,data/raw/FMA/selected_30s/127/127294.mp3,1089467,1088658,3.03,True,downloaded
138061,Bergwald Bergwald - Every Now and Every Then,Rock,fma_large/138/138061.mp3,data/raw/FMA/selected_30s/138/138061.mp3,1078053,1078124,3.02,True,downloaded
3956,Better Run Away From Me - Miss Derringer,Rock,fma_large/003/003956.mp3,data/raw/FMA/selected_30s/003/003956.mp3,961706,960382,3.02,True,downloaded
4003,Beyond Luxury - Mors Ontologica,Rock,fma_large/004/004003.mp3,data/raw/FMA/selected_30s/004/004003.mp3,961635,956774,3.1,True,downloaded
1881,Bizzy - The Tleilaxu Music Machine,Electronic,fma_large/001/001881.mp3,data/raw/FMA/selected_30s/001/001881.mp3,960900,954884,2.95,True,downloaded
131153,Black Panda - The Crypts!,Rock,fma_large/131/131153.mp3,data/raw/FMA/selected_30s/131/131153.mp3,743695,740488,2.88,True,downloaded
114396,Breathe New Life - Scott Holmes,Rock,fma_large/114/114396.mp3,data/raw/FMA/selected_30s/114/114396.mp3,961116,941277,2.97,True,downloaded
113025,Breeze Funk - Malaventura,Pop,fma_large/113/113025.mp3,data/raw/FMA/selected_30s/113/113025.mp3,703785,701699,2.74,True,downloaded
61491,Burn - Room For A Ghost,Rock,fma_large/061/061491.mp3,data/raw/FMA/selected_30s/061/061491.mp3,720953,714453,2.84,True,downloaded
22472,Busby Berkeley - Ergo Phizmiz,Pop,fma_large/022/022472.mp3,data/raw/FMA/selected_30s/022/022472.mp3,1202167,1023986,3.01,True,downloaded
147384,Cassie Lace - The Zombie Dandies,Rock,fma_large/147/147384.mp3,data/raw/FMA/selected_30s/147/147384.mp3,1202619,1200267,3.2,True,downloaded
22480,Celia - Ergo Phizmiz,Pop,fma_large/022/022480.mp3,data/raw/FMA/selected_30s/022/022480.mp3,1201104,1077385,2.98,True,downloaded
74900,Chipho instrumental - RoccoW,Electronic,fma_large/074/074900.mp3,data/raw/FMA/selected_30s/074/074900.mp3,480846,476851,2.69,True,downloaded
145816,Clay Heart - Nihilore,Electronic,fma_large/145/145816.mp3,data/raw/FMA/selected_30s/145/145816.mp3,1202049,1201913,2.88,True,downloaded
71506,Cloudy - Subway Sonicbeat,Electronic,fma_large/071/071506.mp3,data/raw/FMA/selected_30s/071/071506.mp3,1202249,1107216,3.07,True,downloaded
114004,Cold Chains - Rolemusic,Electronic,fma_large/114/114004.mp3,data/raw/FMA/selected_30s/114/114004.mp3,1202127,1200326,3.15,True,downloaded
33636,Coliidae - K.D. Expression,Electronic,fma_large/033/033636.mp3,data/raw/FMA/selected_30s/033/033636.mp3,961958,939822,2.93,True,downloaded
114404,Colossal Stillness - Scott Holmes,Rock,fma_large/114/114404.mp3,data/raw/FMA/selected_30s/114/114404.mp3,961957,903611,3.06,True,downloaded
113028,Convicted Jazz Drones - Malaventura,Pop,fma_large/113/113028.mp3,data/raw/FMA/selected_30s/113/113028.mp3,757472,750864,2.86,True,downloaded
107429,CopperNickle - UncleBibby,Electronic,fma_large/107/107429.mp3,data/raw/FMA/selected_30s/107/107429.mp3,1201145,1098194,3.29,True,downloaded
28753,Crossing - Los Llamarada,Rock,fma_large/028/028753.mp3,data/raw/FMA/selected_30s/028/028753.mp3,600834,585727,2.74,True,downloaded
123920,Dance Harder - Three Chain Links,Electronic,fma_large/123/123920.mp3,data/raw/FMA/selected_30s/123/123920.mp3,1201290,1194163,3.11,True,downloaded
136338,Dance of the Martians (SynthStep Edit) - Maxim Kornyshev,Electronic,fma_large/136/136338.mp3,data/raw/FMA/selected_30s/136/136338.mp3,1200295,1068229,3.02,True,downloaded
117280,Daylight Savings - My brother Daniel,Electronic,fma_large/117/117280.mp3,data/raw/FMA/selected_30s/117/117280.mp3,1201237,1188383,3.04,True,downloaded
130608,Demolition - Michett,Rock,fma_large/130/130608.mp3,data/raw/FMA/selected_30s/130/130608.mp3,1202153,1176914,3.0,True,downloaded
13197,Different Day - First,Pop,fma_large/013/013197.mp3,data/raw/FMA/selected_30s/013/013197.mp3,1202295,1142005,3.01,True,downloaded
112315,Digital Lightning - Cloudkicker,Rock,fma_large/112/112315.mp3,data/raw/FMA/selected_30s/112/112315.mp3,1008615,1008037,2.96,True,downloaded
5289,Don't want to be your man - Frigg A Go Go (F.A.G.G.),Rock,fma_large/005/005289.mp3,data/raw/FMA/selected_30s/005/005289.mp3,960859,958437,3.16,True,downloaded
74363,Dr Deimos-Scribble - Mizuki's Last Chance/Dr Deimos,Electronic,fma_large/074/074363.mp3,data/raw/FMA/selected_30s/074/074363.mp3,1201296,1162376,3.11,True,downloaded
3988,Dr. Bodysnatcher - Modey Lemon,Rock,fma_large/003/003988.mp3,data/raw/FMA/selected_30s/003/003988.mp3,961158,958026,2.89,True,downloaded
89814,Dreams - ENDRUDARK,Electronic,fma_large/089/089814.mp3,data/raw/FMA/selected_30s/089/089814.mp3,1202251,1188266,3.02,True,downloaded
143051,Edge - Mystery Mammal,Electronic,fma_large/143/143051.mp3,data/raw/FMA/selected_30s/143/143051.mp3,361243,357464,2.52,True,downloaded
113021,El Burrito - Malaventura,Pop,fma_large/113/113021.mp3,data/raw/FMA/selected_30s/113/113021.mp3,733751,730329,3.09,True,downloaded
147380,Electric Girlfriend - The Zombie Dandies,Rock,fma_large/147/147380.mp3,data/raw/FMA/selected_30s/147/147380.mp3,1201926,1198689,3.05,True,downloaded
71505,Empower Thee - vargero,Electronic,fma_large/071/071505.mp3,data/raw/FMA/selected_30s/071/071505.mp3,1202234,1102022,3.01,True,downloaded
118055,Empty Pockets - Pete Prodoehl,Rock,fma_large/118/118055.mp3,data/raw/FMA/selected_30s/118/118055.mp3,661315,657845,2.65,True,downloaded
145916,End of the Line - H-LR,Electronic,fma_large/145/145916.mp3,data/raw/FMA/selected_30s/145/145916.mp3,1201105,1197042,2.98,True,downloaded
154926,End titles - Itsensäsyöjät,Electronic,fma_large/154/154926.mp3,data/raw/FMA/selected_30s/154/154926.mp3,961812,919818,3.16,True,downloaded
150311,Endless - The Birth and Death of Silence,Electronic,fma_large/150/150311.mp3,data/raw/FMA/selected_30s/150/150311.mp3,1202284,1197944,3.19,True,downloaded
3976,Enemy - Modey Lemon,Rock,fma_large/003/003976.mp3,data/raw/FMA/selected_30s/003/003976.mp3,961137,958238,3.06,True,downloaded
108855,Enthalpy - Rolemusic,Electronic,fma_large/108/108855.mp3,data/raw/FMA/selected_30s/108/108855.mp3,634920,622871,2.75,True,downloaded
135341,Evil Cannot Create - Caleb Lemond,Pop,fma_large/135/135341.mp3,data/raw/FMA/selected_30s/135/135341.mp3,600959,596178,2.76,True,downloaded
3966,Eyes Getting Louder - Mod Fun,Rock,fma_large/003/003966.mp3,data/raw/FMA/selected_30s/003/003966.mp3,960730,957807,3.46,True,downloaded
3857,Fear - Los Fancy Free,Rock,fma_large/003/003857.mp3,data/raw/FMA/selected_30s/003/003857.mp3,960838,959577,3.1,True,downloaded
60834,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,Electronic,fma_large/060/060834.mp3,data/raw/FMA/selected_30s/060/060834.mp3,1201358,771548,2.81,True,downloaded
127296,"First Glance - Oh Yeah, the Future",Pop,fma_large/127/127296.mp3,data/raw/FMA/selected_30s/127/127296.mp3,981075,981029,3.03,True,downloaded
131164,Five 40 Derby/Slow Whistle - The Crypts!,Rock,fma_large/131/131164.mp3,data/raw/FMA/selected_30s/131/131164.mp3,1201317,1185057,3.61,True,downloaded
140324,Flashback - Seclorance,Electronic,fma_large/140/140324.mp3,data/raw/FMA/selected_30s/140/140324.mp3,1202253,1193670,3.16,True,downloaded
145801,Fleslit - Fleslit,Electronic,fma_large/145/145801.mp3,data/raw/FMA/selected_30s/145/145801.mp3,1201251,1114354,3.73,True,downloaded
152326,Fly 2 - Andre Jetson,Electronic,fma_large/152/152326.mp3,data/raw/FMA/selected_30s/152/152326.mp3,1201223,1111925,3.03,True,downloaded
22473,Food and War - Ergo Phizmiz,Pop,fma_large/022/022473.mp3,data/raw/FMA/selected_30s/022/022473.mp3,1202163,1067778,3.15,True,downloaded
149695,Forest Silence - Serpentarivm,Rock,fma_large/149/149695.mp3,data/raw/FMA/selected_30s/149/149695.mp3,1201146,1192221,3.18,True,downloaded
149414,Formic Acid for Blood - Punk Rock Opera,Rock,fma_large/149/149414.mp3,data/raw/FMA/selected_30s/149/149414.mp3,1202587,1201567,3.04,True,downloaded
132442,Four and a Half Tatami - Nihilore,Electronic,fma_large/132/132442.mp3,data/raw/FMA/selected_30s/132/132442.mp3,1202206,1189636,3.0,True,downloaded
94342,Fridge - Railkid Station,Rock,fma_large/094/094342.mp3,data/raw/FMA/selected_30s/094/094342.mp3,1202300,1193323,3.17,True,downloaded
106336,Fuckaboing - RoccoW,Electronic,fma_large/106/106336.mp3,data/raw/FMA/selected_30s/106/106336.mp3,1202254,1155051,3.16,True,downloaded
131168,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,Rock,fma_large/131/131168.mp3,data/raw/FMA/selected_30s/131/131168.mp3,1201346,1191181,3.16,True,downloaded
36708,Gloomy Sunday - AmortE,Rock,fma_large/036/036708.mp3,data/raw/FMA/selected_30s/036/036708.mp3,240542,233413,2.32,True,downloaded
121722,"Go On, Then - Jim Rooster",Electronic,fma_large/121/121722.mp3,data/raw/FMA/selected_30s/121/121722.mp3,961890,954953,3.39,True,downloaded
4385,Hahaha - The Moi Non Plus,Rock,fma_large/004/004385.mp3,data/raw/FMA/selected_30s/004/004385.mp3,960708,958528,3.0,True,downloaded
127558,Half a Doubt - Droopies,Rock,fma_large/127/127558.mp3,data/raw/FMA/selected_30s/127/127558.mp3,1201407,1201275,3.19,True,downloaded
147303,Hammer and a Nail - Vienna Ditto,Electronic,fma_large/147/147303.mp3,data/raw/FMA/selected_30s/147/147303.mp3,1201114,1197944,3.63,True,downloaded
135370,Happy - Lamprey,Rock,fma_large/135/135370.mp3,data/raw/FMA/selected_30s/135/135370.mp3,1202269,1201327,3.02,True,downloaded
135209,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",Rock,fma_large/135/135209.mp3,data/raw/FMA/selected_30s/135/135209.mp3,601547,559621,2.83,True,downloaded
67162,Hisko Detria - Hisko Detria,Rock,fma_large/067/067162.mp3,data/raw/FMA/selected_30s/067/067162.mp3,1202344,1193939,3.3,True,downloaded
127295,"Hungry - Oh Yeah, the Future",Pop,fma_large/127/127295.mp3,data/raw/FMA/selected_30s/127/127295.mp3,1054673,1054747,3.37,True,downloaded
141892,I - Inflammator,Rock,fma_large/141/141892.mp3,data/raw/FMA/selected_30s/141/141892.mp3,1201172,1197494,2.98,True,downloaded
141877,I - Nocturnal Mayhem,Rock,fma_large/141/141877.mp3,data/raw/FMA/selected_30s/141/141877.mp3,1201109,1190251,3.17,True,downloaded
3961,I Can See Everything - Mod Fun,Rock,fma_large/003/003961.mp3,data/raw/FMA/selected_30s/003/003961.mp3,961567,959220,3.16,True,downloaded
3959,I Close My Eyes - Miss Derringer,Rock,fma_large/003/003959.mp3,data/raw/FMA/selected_30s/003/003959.mp3,960862,959392,2.98,True,downloaded
5148,I Dream So Vividly - Uninhabitable Mansions,Rock,fma_large/005/005148.mp3,data/raw/FMA/selected_30s/005/005148.mp3,960905,959765,3.27,True,downloaded
3962,I Fell - Mod Fun,Rock,fma_large/003/003962.mp3,data/raw/FMA/selected_30s/003/003962.mp3,960717,958909,3.07,True,downloaded
107616,I Know His Blood - Vienna Ditto,Electronic,fma_large/107/107616.mp3,data/raw/FMA/selected_30s/107/107616.mp3,1088803,1087754,3.07,True,downloaded
135339,I Think From Now On - Caleb Lemond,Pop,fma_large/135/135339.mp3,data/raw/FMA/selected_30s/135/135339.mp3,600962,594591,2.75,True,downloaded
28763,I'm gonna try to reach - Los Llamarada,Rock,fma_large/028/028763.mp3,data/raw/FMA/selected_30s/028/028763.mp3,600861,589993,2.77,True,downloaded
24925,If You're Ther - Nicola Ratti,Electronic,fma_large/024/024925.mp3,data/raw/FMA/selected_30s/024/024925.mp3,1201185,1117675,3.05,True,downloaded
33630,Improvisation - Broken Chord,Electronic,fma_large/033/033630.mp3,data/raw/FMA/selected_30s/033/033630.mp3,961131,925912,2.81,True,downloaded
129968,Infinite Light - Pipe Choir,Rock,fma_large/129/129968.mp3,data/raw/FMA/selected_30s/129/129968.mp3,719896,709984,2.64,True,downloaded
149413,Insectlaration of Independence - Punk Rock Opera,Rock,fma_large/149/149413.mp3,data/raw/FMA/selected_30s/149/149413.mp3,1202332,1199603,3.08,True,downloaded
154920,Introduction beats - Itsensäsyöjät,Electronic,fma_large/154/154920.mp3,data/raw/FMA/selected_30s/154/154920.mp3,961828,953218,3.27,True,downloaded
91160,Invaders From Within - Monroeville Music Center,Pop,fma_large/091/091160.mp3,data/raw/FMA/selected_30s/091/091160.mp3,1202271,883316,3.07,True,downloaded
123918,It Can't Be Bargained With - Three Chain Links,Electronic,fma_large/123/123918.mp3,data/raw/FMA/selected_30s/123/123918.mp3,1202361,1194254,2.98,True,downloaded
107435,Jangus (inspired by ToeJam and Earl) - UncleBibby,Electronic,fma_large/107/107435.mp3,data/raw/FMA/selected_30s/107/107435.mp3,1202320,1158631,3.06,True,downloaded
22474,John the Baby - Ergo Phizmiz,Pop,fma_large/022/022474.mp3,data/raw/FMA/selected_30s/022/022474.mp3,1202165,970933,3.17,True,downloaded
4383,Johnny I Lie - The Moi Non Plus,Rock,fma_large/004/004383.mp3,data/raw/FMA/selected_30s/004/004383.mp3,960715,959655,3.04,True,downloaded
147416,KISS my Boots - The Zombie Dandies,Rock,fma_large/147/147416.mp3,data/raw/FMA/selected_30s/147/147416.mp3,1202333,1200371,3.53,True,downloaded
42772,KOMFORT - voyageurs,Rock,fma_large/042/042772.mp3,data/raw/FMA/selected_30s/042/042772.mp3,1202165,1195853,2.93,True,downloaded
23573,Key trick - Krisa,Electronic,fma_large/023/023573.mp3,data/raw/FMA/selected_30s/023/023573.mp3,961020,886479,2.78,True,downloaded
116881,Killing Bosses - Gumbel,Electronic,fma_large/116/116881.mp3,data/raw/FMA/selected_30s/116/116881.mp3,1201025,1195640,3.07,True,downloaded
135340,Kissing Scars - Caleb Lemond,Pop,fma_large/135/135340.mp3,data/raw/FMA/selected_30s/135/135340.mp3,601472,590785,2.74,True,downloaded
24921,Kumorizoranohajimarutokoro - Hosomi,Electronic,fma_large/024/024921.mp3,data/raw/FMA/selected_30s/024/024921.mp3,1201032,1096199,3.19,True,downloaded
122680,L'arbre - Salmo,Rock,fma_large/122/122680.mp3,data/raw/FMA/selected_30s/122/122680.mp3,1201107,1161303,3.07,True,downloaded
42787,LIQUID SKULLS - voyageurs,Rock,fma_large/042/042787.mp3,data/raw/FMA/selected_30s/042/042787.mp3,1201141,1199162,3.08,True,downloaded
107617,La Nina Blanca - Vienna Ditto,Electronic,fma_large/107/107617.mp3,data/raw/FMA/selected_30s/107/107617.mp3,1023482,1024518,3.05,True,downloaded
127300,"Lackadaisical - Oh Yeah, the Future",Pop,fma_large/127/127300.mp3,data/raw/FMA/selected_30s/127/127300.mp3,1012480,1013218,3.38,True,downloaded
1382,Lady Love - Parsley Flakes,Rock,fma_large/001/001382.mp3,data/raw/FMA/selected_30s/001/001382.mp3,720629,714991,3.06,True,downloaded
33629,Laika - NGC 1365,Electronic,fma_large/033/033629.mp3,data/raw/FMA/selected_30s/033/033629.mp3,961929,933015,3.0,True,downloaded
3971,Leaving Here - Mod Fun,Rock,fma_large/003/003971.mp3,data/raw/FMA/selected_30s/003/003971.mp3,960724,958483,3.05,True,downloaded
136017,Let You're Body Move - D SMILEZ,Electronic,fma_large/136/136017.mp3,data/raw/FMA/selected_30s/136/136017.mp3,941706,937670,3.07,True,downloaded
58483,Let's Start Out Slow - RoccoW,Electronic,fma_large/058/058483.mp3,data/raw/FMA/selected_30s/058/058483.mp3,1202260,1017389,3.18,True,downloaded
113022,Let's the kids play - Malaventura,Pop,fma_large/113/113022.mp3,data/raw/FMA/selected_30s/113/113022.mp3,704071,701504,3.27,True,downloaded
147299,Liar Liar Quietly - Vienna Ditto,Electronic,fma_large/147/147299.mp3,data/raw/FMA/selected_30s/147/147299.mp3,1201128,1186676,3.18,True,downloaded
5285,Liberation is not Easy - Frigg A Go Go (F.A.G.G.),Rock,fma_large/005/005285.mp3,data/raw/FMA/selected_30s/005/005285.mp3,960857,958449,3.44,True,downloaded
132445,Liberosis - Nihilore,Electronic,fma_large/132/132445.mp3,data/raw/FMA/selected_30s/132/132445.mp3,1202180,1192231,4.03,True,downloaded
129962,Lights Up - Pipe Choir,Rock,fma_large/129/129962.mp3,data/raw/FMA/selected_30s/129/129962.mp3,719780,704621,2.85,True,downloaded
107483,Little Fingers - Vienna Ditto,Electronic,fma_large/107/107483.mp3,data/raw/FMA/selected_30s/107/107483.mp3,1087275,1086833,3.0,True,downloaded
136016,Lost In The Music (D-Smilez Mix) - D SMILEZ,Electronic,fma_large/136/136016.mp3,data/raw/FMA/selected_30s/136/136016.mp3,953467,948946,3.28,True,downloaded
149488,Lost Paradise - Autumn Interlude,Rock,fma_large/149/149488.mp3,data/raw/FMA/selected_30s/149/149488.mp3,1202209,1189084,3.78,True,downloaded
147377,Love Dream - The Zombie Dandies,Rock,fma_large/147/147377.mp3,data/raw/FMA/selected_30s/147/147377.mp3,1202157,1200133,3.7,True,downloaded
148786,Loved Ones - Rowan Box,Electronic,fma_large/148/148786.mp3,data/raw/FMA/selected_30s/148/148786.mp3,1604,433,1.56,True,downloaded
127298,"Lovedreams - Oh Yeah, the Future",Pop,fma_large/127/127298.mp3,data/raw/FMA/selected_30s/127/127298.mp3,1009020,1009095,3.26,True,downloaded
22479,Mandrill - Ergo Phizmiz,Pop,fma_large/022/022479.mp3,data/raw/FMA/selected_30s/022/022479.mp3,1201109,1009161,3.45,True,downloaded
149755,March of the GPA Mechanics - [t]ghost,Rock,fma_large/149/149755.mp3,data/raw/FMA/selected_30s/149/149755.mp3,1202209,1196763,3.73,True,downloaded
129972,Mettle - Pipe Choir,Rock,fma_large/129/129972.mp3,data/raw/FMA/selected_30s/129/129972.mp3,720400,686975,3.36,True,downloaded
149416,Millitary Industrial Complex - Punk Rock Opera,Rock,fma_large/149/149416.mp3,data/raw/FMA/selected_30s/149/149416.mp3,1201612,1200280,4.13,True,downloaded
36707,Moja Krypta - AmortE,Rock,fma_large/036/036707.mp3,data/raw/FMA/selected_30s/036/036707.mp3,240748,232872,2.6,True,downloaded
22477,Monkeystage - Ergo Phizmiz,Pop,fma_large/022/022477.mp3,data/raw/FMA/selected_30s/022/022477.mp3,1202160,1013040,3.07,True,downloaded
129265,Moontime - The IMG,Rock,fma_large/129/129265.mp3,data/raw/FMA/selected_30s/129/129265.mp3,1202139,1102437,3.07,True,downloaded
140922,Morning Bell - Nihilore,Electronic,fma_large/140/140922.mp3,data/raw/FMA/selected_30s/140/140922.mp3,1201196,1201318,3.18,True,downloaded
113660,Mosque - Sarin,Rock,fma_large/113/113660.mp3,data/raw/FMA/selected_30s/113/113660.mp3,1141732,1141740,3.07,True,downloaded
91162,Motocross Mania - Monroeville Music Center,Pop,fma_large/091/091162.mp3,data/raw/FMA/selected_30s/091/091162.mp3,1201037,883526,2.96,True,downloaded
3974,Mountain Mist - Modey Lemon,Rock,fma_large/003/003974.mp3,data/raw/FMA/selected_30s/003/003974.mp3,961155,890963,3.17,True,downloaded
22476,Music For an Underground Circu - Ergo Phizmiz,Pop,fma_large/022/022476.mp3,data/raw/FMA/selected_30s/022/022476.mp3,1201155,1078609,3.09,True,downloaded
68666,My Body Is A Weapon (Compromise Edit) - Silence is full of birds,Pop,fma_large/068/068666.mp3,data/raw/FMA/selected_30s/068/068666.mp3,1201296,1099656,3.47,True,downloaded
36706,Natron Queen - AmortE,Rock,fma_large/036/036706.mp3,data/raw/FMA/selected_30s/036/036706.mp3,240540,236252,2.51,True,downloaded
6792,Nature Is Over / Defined - Bird Names,Pop,fma_large/006/006792.mp3,data/raw/FMA/selected_30s/006/006792.mp3,961178,958912,2.99,True,downloaded
127301,"New Brave Face - Oh Yeah, the Future",Pop,fma_large/127/127301.mp3,data/raw/FMA/selected_30s/127/127301.mp3,988623,988998,3.09,True,downloaded
6789,New Life (take 1) - Bird Names,Pop,fma_large/006/006789.mp3,data/raw/FMA/selected_30s/006/006789.mp3,961999,956669,3.69,True,downloaded
75787,Niche Dreams - Square People,Rock,fma_large/075/075787.mp3,data/raw/FMA/selected_30s/075/075787.mp3,1202274,1200813,3.09,True,downloaded
72075,Night Drive - Decktonic,Electronic,fma_large/072/072075.mp3,data/raw/FMA/selected_30s/072/072075.mp3,1201244,1189477,3.06,True,downloaded
42377,Night Owl - Broke For Free,Electronic,fma_large/042/042377.mp3,data/raw/FMA/selected_30s/042/042377.mp3,1201200,1194925,3.8,True,downloaded
71512,Noam Chomsky's Corporate Carbohydrate Surprise - Quelle Fromage,Electronic,fma_large/071/071512.mp3,data/raw/FMA/selected_30s/071/071512.mp3,1201260,1199969,3.67,True,downloaded
6791,Norweigian Wood II - Bird Names,Pop,fma_large/006/006791.mp3,data/raw/FMA/selected_30s/006/006791.mp3,961167,958807,3.18,True,downloaded
26730,Nose - DUSTdevils,Rock,fma_large/026/026730.mp3,data/raw/FMA/selected_30s/026/026730.mp3,1202135,1103296,3.16,True,downloaded
113017,Nostalgia - Malaventura,Pop,fma_large/113/113017.mp3,data/raw/FMA/selected_30s/113/113017.mp3,680215,678315,2.81,True,downloaded
24922,"November 25, 2007 - Kenneth Kirschner",Electronic,fma_large/024/024922.mp3,data/raw/FMA/selected_30s/024/024922.mp3,1201039,1068740,2.92,True,downloaded
31561,Nuo Maisemat - Paavoharju,Electronic,fma_large/031/031561.mp3,data/raw/FMA/selected_30s/031/031561.mp3,720470,705203,2.85,True,downloaded
142080,OOOTHERSIDE - Liquid Paper - Mike B. Fort,Electronic,fma_large/142/142080.mp3,data/raw/FMA/selected_30s/142/142080.mp3,1202272,1197233,3.09,True,downloaded
142081,OOOTHERSIDE - This Time - Mike B. Fort,Electronic,fma_large/142/142081.mp3,data/raw/FMA/selected_30s/142/142081.mp3,1201221,1197089,3.08,True,downloaded
115814,OST 04 Ship under attack - sawsquarenoise,Electronic,fma_large/115/115814.mp3,data/raw/FMA/selected_30s/115/115814.mp3,1201176,1199947,3.07,True,downloaded
140344,Ohtli - Seclorance,Electronic,fma_large/140/140344.mp3,data/raw/FMA/selected_30s/140/140344.mp3,1202148,1196881,3.74,True,downloaded
22457,Okiirobo Navigation System - Henry Homesweet,Electronic,fma_large/022/022457.mp3,data/raw/FMA/selected_30s/022/022457.mp3,850631,842368,3.01,True,downloaded
22475,On My Mind - Ergo Phizmiz,Pop,fma_large/022/022475.mp3,data/raw/FMA/selected_30s/022/022475.mp3,1202159,1064997,3.16,True,downloaded
131160,One Eyed Ghost/This is gonna be a rough show - The Crypts!,Rock,fma_large/131/131160.mp3,data/raw/FMA/selected_30s/131/131160.mp3,1201341,1187245,3.63,True,downloaded
42372,Only Instrumental - Broke For Free,Electronic,fma_large/042/042372.mp3,data/raw/FMA/selected_30s/042/042372.mp3,1202261,1196449,2.94,True,downloaded
135342,Outro - Caleb Lemond,Pop,fma_large/135/135342.mp3,data/raw/FMA/selected_30s/135/135342.mp3,600938,589206,2.94,True,downloaded
145803,Paris - Fleslit,Electronic,fma_large/145/145803.mp3,data/raw/FMA/selected_30s/145/145803.mp3,1201233,1167948,3.22,True,downloaded
24919,Pista Afuera - Epstein,Electronic,fma_large/024/024919.mp3,data/raw/FMA/selected_30s/024/024919.mp3,1202050,1118107,2.99,True,downloaded
