original_audio,generator,track_sample_id,genre,split
"Aquamarine, My Distant Blue - Nihilore",musicgen,sample_03180,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",producer,sample_01631,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",songgen,sample_01787,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",stableaudio,sample_02674,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",suno,sample_02077,Electronic,train
"Aquamarine, My Distant Blue - Nihilore",udio,sample_02377,Electronic,train
Attention - Pete Prodoehl,acestep,sample_00314,Rock,test
Attention - Pete Prodoehl,audioldm,sample_00809,Rock,test
Attention - Pete Prodoehl,brev,sample_01084,Rock,test
Attention - Pete Prodoehl,diffrhythm,sample_01377,Rock,test
Attention - Pete Prodoehl,elevenlabs,sample_02877,Rock,test
Attention - Pete Prodoehl,mubert,sample_01609,Rock,test
Attention - Pete Prodoehl,musicgen,sample_03183,Rock,test
Attention - Pete Prodoehl,producer,sample_01731,Rock,test
Attention - Pete Prodoehl,songgen,sample_01969,Rock,test
Attention - Pete Prodoehl,stableaudio,sample_02785,Rock,test
Attention - Pete Prodoehl,suno,sample_02275,Rock,test
Attention - Pete Prodoehl,udio,sample_02575,Rock,test
Autobahn - S-B-J,acestep,sample_00316,Electronic,train
Autobahn - S-B-J,audioldm,sample_00881,Electronic,train
Autobahn - S-B-J,brev,sample_00890,Electronic,train
Autobahn - S-B-J,diffrhythm,sample_01192,Electronic,train
Autobahn - S-B-J,elevenlabs,sample_02879,Electronic,train
Autobahn - S-B-J,mubert,sample_01526,Electronic,train
Autobahn - S-B-J,musicgen,sample_03185,Electronic,train
Autobahn - S-B-J,producer,sample_01632,Electronic,train
Autobahn - S-B-J,songgen,sample_01791,Electronic,train
Autobahn - S-B-J,stableaudio,sample_02675,Electronic,train
Autobahn - S-B-J,suno,sample_02079,Electronic,train
Autobahn - S-B-J,udio,sample_02379,Electronic,train
Breeze Funk - Malaventura,acestep,sample_00327,Pop,train
Breeze Funk - Malaventura,audioldm,sample_00713,Pop,train
Breeze Funk - Malaventura,brev,sample_00982,Pop,train
Breeze Funk - Malaventura,diffrhythm,sample_01297,Pop,train
Breeze Funk - Malaventura,elevenlabs,sample_02883,Pop,train
Breeze Funk - Malaventura,mubert,sample_01538,Pop,train
Breeze Funk - Malaventura,musicgen,sample_03196,Pop,train
Breeze Funk - Malaventura,producer,sample_01679,Pop,train
Breeze Funk - Malaventura,songgen,sample_01897,Pop,train
Breeze Funk - Malaventura,stableaudio,sample_02719,Pop,train
Breeze Funk - Malaventura,suno,sample_02173,Pop,train
Breeze Funk - Malaventura,udio,sample_02473,Pop,train
Busby Berkeley - Ergo Phizmiz,acestep,sample_00329,Pop,train
Busby Berkeley - Ergo Phizmiz,audioldm,sample_00707,Pop,train
Busby Berkeley - Ergo Phizmiz,brev,sample_00984,Pop,train
Busby Berkeley - Ergo Phizmiz,diffrhythm,sample_01298,Pop,train
Busby Berkeley - Ergo Phizmiz,elevenlabs,sample_02885,Pop,train
Busby Berkeley - Ergo Phizmiz,mubert,sample_01555,Pop,train
Busby Berkeley - Ergo Phizmiz,musicgen,sample_03198,Pop,train
Busby Berkeley - Ergo Phizmiz,producer,sample_01680,Pop,train
Busby Berkeley - Ergo Phizmiz,songgen,sample_01898,Pop,train
Busby Berkeley - Ergo Phizmiz,stableaudio,sample_02720,Pop,train
Busby Berkeley - Ergo Phizmiz,suno,sample_02175,Pop,train
Busby Berkeley - Ergo Phizmiz,udio,sample_02475,Pop,train
Celia - Ergo Phizmiz,acestep,sample_00331,Pop,train
Celia - Ergo Phizmiz,audioldm,sample_00720,Pop,train
Celia - Ergo Phizmiz,brev,sample_00986,Pop,train
Celia - Ergo Phizmiz,diffrhythm,sample_01299,Pop,train
Celia - Ergo Phizmiz,elevenlabs,sample_02887,Pop,train
Celia - Ergo Phizmiz,mubert,sample_01556,Pop,train
Celia - Ergo Phizmiz,musicgen,sample_03200,Pop,train
Celia - Ergo Phizmiz,producer,sample_01681,Pop,train
Celia - Ergo Phizmiz,songgen,sample_01899,Pop,train
Celia - Ergo Phizmiz,stableaudio,sample_02721,Pop,train
Celia - Ergo Phizmiz,suno,sample_02177,Pop,train
Celia - Ergo Phizmiz,udio,sample_02477,Pop,train
Clay Heart - Nihilore,acestep,sample_00332,Electronic,train
Clay Heart - Nihilore,audioldm,sample_00661,Electronic,train
Clay Heart - Nihilore,brev,sample_00892,Electronic,train
Clay Heart - Nihilore,diffrhythm,sample_01195,Electronic,train
Clay Heart - Nihilore,elevenlabs,sample_02889,Electronic,train
Clay Heart - Nihilore,mubert,sample_01494,Electronic,train
Clay Heart - Nihilore,musicgen,sample_03201,Electronic,train
Clay Heart - Nihilore,producer,sample_01633,Electronic,train
Clay Heart - Nihilore,songgen,sample_01794,Electronic,train
Clay Heart - Nihilore,stableaudio,sample_02676,Electronic,train
Clay Heart - Nihilore,suno,sample_02081,Electronic,train
Clay Heart - Nihilore,udio,sample_02381,Electronic,train
Cold Chains - Rolemusic,acestep,sample_00334,Electronic,train
Cold Chains - Rolemusic,audioldm,sample_00642,Electronic,train
Cold Chains - Rolemusic,brev,sample_00894,Electronic,train
Cold Chains - Rolemusic,diffrhythm,sample_01197,Electronic,train
Cold Chains - Rolemusic,elevenlabs,sample_02891,Electronic,train
Cold Chains - Rolemusic,mubert,sample_01479,Electronic,train
Cold Chains - Rolemusic,musicgen,sample_03203,Electronic,train
Cold Chains - Rolemusic,producer,sample_01634,Electronic,train
Cold Chains - Rolemusic,songgen,sample_01796,Electronic,train
Cold Chains - Rolemusic,stableaudio,sample_02677,Electronic,train
Cold Chains - Rolemusic,suno,sample_02083,Electronic,train
Cold Chains - Rolemusic,udio,sample_02383,Electronic,train
Colossal Stillness - Scott Holmes,acestep,sample_00336,Rock,train
Colossal Stillness - Scott Holmes,audioldm,sample_00811,Rock,train
Colossal Stillness - Scott Holmes,brev,sample_01086,Rock,train
Colossal Stillness - Scott Holmes,diffrhythm,sample_01387,Rock,train
Colossal Stillness - Scott Holmes,elevenlabs,sample_02895,Rock,train
Colossal Stillness - Scott Holmes,mubert,sample_01578,Rock,train
Colossal Stillness - Scott Holmes,musicgen,sample_03205,Rock,train
Colossal Stillness - Scott Holmes,producer,sample_01732,Rock,train
Colossal Stillness - Scott Holmes,songgen,sample_01979,Rock,train
Colossal Stillness - Scott Holmes,stableaudio,sample_02792,Rock,train
Colossal Stillness - Scott Holmes,suno,sample_02277,Rock,train
Colossal Stillness - Scott Holmes,udio,sample_02577,Rock,train
Convicted Jazz Drones - Malaventura,acestep,sample_00337,Pop,train
Convicted Jazz Drones - Malaventura,audioldm,sample_00711,Pop,train
Convicted Jazz Drones - Malaventura,brev,sample_00988,Pop,train
Convicted Jazz Drones - Malaventura,diffrhythm,sample_01300,Pop,train
Convicted Jazz Drones - Malaventura,elevenlabs,sample_02897,Pop,train
Convicted Jazz Drones - Malaventura,mubert,sample_01551,Pop,train
Convicted Jazz Drones - Malaventura,musicgen,sample_03206,Pop,train
Convicted Jazz Drones - Malaventura,producer,sample_01682,Pop,train
Convicted Jazz Drones - Malaventura,songgen,sample_01900,Pop,train
Convicted Jazz Drones - Malaventura,stableaudio,sample_02722,Pop,train
Convicted Jazz Drones - Malaventura,suno,sample_02179,Pop,train
Convicted Jazz Drones - Malaventura,udio,sample_02479,Pop,train
CopperNickle - UncleBibby,acestep,sample_00338,Electronic,val
CopperNickle - UncleBibby,audioldm,sample_00639,Electronic,val
CopperNickle - UncleBibby,brev,sample_00898,Electronic,val
CopperNickle - UncleBibby,diffrhythm,sample_01199,Electronic,val
CopperNickle - UncleBibby,elevenlabs,sample_02899,Electronic,val
CopperNickle - UncleBibby,mubert,sample_01512,Electronic,val
CopperNickle - UncleBibby,musicgen,sample_03207,Electronic,val
CopperNickle - UncleBibby,producer,sample_01636,Electronic,val
CopperNickle - UncleBibby,songgen,sample_01798,Electronic,val
CopperNickle - UncleBibby,stableaudio,sample_02678,Electronic,val
CopperNickle - UncleBibby,suno,sample_02087,Electronic,val
CopperNickle - UncleBibby,udio,sample_02387,Electronic,val
Crossing - Los Llamarada,acestep,sample_00339,Rock,train
Crossing - Los Llamarada,audioldm,sample_00796,Rock,train
Crossing - Los Llamarada,brev,sample_01088,Rock,train
Crossing - Los Llamarada,diffrhythm,sample_01388,Rock,train
Crossing - Los Llamarada,elevenlabs,sample_02901,Rock,train
Crossing - Los Llamarada,mubert,sample_01619,Rock,train
Crossing - Los Llamarada,musicgen,sample_03208,Rock,train
Crossing - Los Llamarada,producer,sample_01733,Rock,train
Crossing - Los Llamarada,songgen,sample_01980,Rock,train
Crossing - Los Llamarada,stableaudio,sample_02796,Rock,train
Crossing - Los Llamarada,suno,sample_02279,Rock,train
Crossing - Los Llamarada,udio,sample_02579,Rock,train
Dance Harder - Three Chain Links,acestep,sample_00340,Electronic,test
Dance Harder - Three Chain Links,audioldm,sample_00637,Electronic,test
Dance Harder - Three Chain Links,brev,sample_00900,Electronic,test
Dance Harder - Three Chain Links,diffrhythm,sample_01200,Electronic,test
Dance Harder - Three Chain Links,elevenlabs,sample_02903,Electronic,test
Dance Harder - Three Chain Links,mubert,sample_01495,Electronic,test
Dance Harder - Three Chain Links,musicgen,sample_03209,Electronic,test
Dance Harder - Three Chain Links,producer,sample_01637,Electronic,test
Dance Harder - Three Chain Links,songgen,sample_01799,Electronic,test
Dance Harder - Three Chain Links,stableaudio,sample_02679,Electronic,test
Dance Harder - Three Chain Links,suno,sample_02089,Electronic,test
Dance Harder - Three Chain Links,udio,sample_02389,Electronic,test
Digital Lightning - Cloudkicker,acestep,sample_00346,Rock,train
Digital Lightning - Cloudkicker,audioldm,sample_00786,Rock,train
Digital Lightning - Cloudkicker,brev,sample_01090,Rock,train
Digital Lightning - Cloudkicker,diffrhythm,sample_01390,Rock,train
Digital Lightning - Cloudkicker,elevenlabs,sample_02909,Rock,train
Digital Lightning - Cloudkicker,mubert,sample_01611,Rock,train
Digital Lightning - Cloudkicker,musicgen,sample_03215,Rock,train
Digital Lightning - Cloudkicker,producer,sample_01734,Rock,train
Digital Lightning - Cloudkicker,songgen,sample_01982,Rock,train
Digital Lightning - Cloudkicker,stableaudio,sample_02798,Rock,train
Digital Lightning - Cloudkicker,suno,sample_02281,Rock,train
Digital Lightning - Cloudkicker,udio,sample_02581,Rock,train
Empower Thee - vargero,acestep,sample_00354,Electronic,train
Empower Thee - vargero,audioldm,sample_00635,Electronic,train
Empower Thee - vargero,brev,sample_00904,Electronic,train
Empower Thee - vargero,diffrhythm,sample_01206,Electronic,train
Empower Thee - vargero,elevenlabs,sample_02913,Electronic,train
Empower Thee - vargero,mubert,sample_01527,Electronic,train
Empower Thee - vargero,musicgen,sample_03223,Electronic,train
Empower Thee - vargero,producer,sample_01640,Electronic,train
Empower Thee - vargero,songgen,sample_01805,Electronic,train
Empower Thee - vargero,stableaudio,sample_02681,Electronic,train
Empower Thee - vargero,suno,sample_02095,Electronic,train
Empower Thee - vargero,udio,sample_02395,Electronic,train
Empty Pockets - Pete Prodoehl,acestep,sample_00355,Rock,val
Empty Pockets - Pete Prodoehl,audioldm,sample_00768,Rock,val
Empty Pockets - Pete Prodoehl,brev,sample_01092,Rock,val
Empty Pockets - Pete Prodoehl,diffrhythm,sample_01394,Rock,val
Empty Pockets - Pete Prodoehl,elevenlabs,sample_02915,Rock,val
Empty Pockets - Pete Prodoehl,mubert,sample_01610,Rock,val
Empty Pockets - Pete Prodoehl,musicgen,sample_03224,Rock,val
Empty Pockets - Pete Prodoehl,producer,sample_01735,Rock,val
Empty Pockets - Pete Prodoehl,songgen,sample_01986,Rock,val
Empty Pockets - Pete Prodoehl,stableaudio,sample_02801,Rock,val
Empty Pockets - Pete Prodoehl,suno,sample_02283,Rock,val
Empty Pockets - Pete Prodoehl,udio,sample_02583,Rock,val
Endless - The Birth and Death of Silence,acestep,sample_00356,Electronic,train
Endless - The Birth and Death of Silence,audioldm,sample_00593,Electronic,train
Endless - The Birth and Death of Silence,brev,sample_00906,Electronic,train
Endless - The Birth and Death of Silence,diffrhythm,sample_01207,Electronic,train
Endless - The Birth and Death of Silence,elevenlabs,sample_02917,Electronic,train
Endless - The Birth and Death of Silence,mubert,sample_01519,Electronic,train
Endless - The Birth and Death of Silence,musicgen,sample_03225,Electronic,train
Endless - The Birth and Death of Silence,producer,sample_01641,Electronic,train
Endless - The Birth and Death of Silence,songgen,sample_01806,Electronic,train
Endless - The Birth and Death of Silence,stableaudio,sample_02682,Electronic,train
Endless - The Birth and Death of Silence,suno,sample_02097,Electronic,train
Endless - The Birth and Death of Silence,udio,sample_02397,Electronic,train
Evil Cannot Create - Caleb Lemond,acestep,sample_00361,Pop,val
Evil Cannot Create - Caleb Lemond,audioldm,sample_00728,Pop,val
Evil Cannot Create - Caleb Lemond,brev,sample_00994,Pop,val
Evil Cannot Create - Caleb Lemond,diffrhythm,sample_01304,Pop,val
Evil Cannot Create - Caleb Lemond,elevenlabs,sample_02919,Pop,val
Evil Cannot Create - Caleb Lemond,mubert,sample_01543,Pop,val
Evil Cannot Create - Caleb Lemond,musicgen,sample_03230,Pop,val
Evil Cannot Create - Caleb Lemond,producer,sample_01685,Pop,val
Evil Cannot Create - Caleb Lemond,songgen,sample_01904,Pop,val
Evil Cannot Create - Caleb Lemond,stableaudio,sample_02725,Pop,val
Evil Cannot Create - Caleb Lemond,suno,sample_02185,Pop,val
Evil Cannot Create - Caleb Lemond,udio,sample_02485,Pop,val
Food and War - Ergo Phizmiz,acestep,sample_00370,Pop,train
Food and War - Ergo Phizmiz,audioldm,sample_00733,Pop,train
Food and War - Ergo Phizmiz,brev,sample_00998,Pop,train
Food and War - Ergo Phizmiz,diffrhythm,sample_01306,Pop,train
Food and War - Ergo Phizmiz,elevenlabs,sample_02925,Pop,train
Food and War - Ergo Phizmiz,mubert,sample_01557,Pop,train
Food and War - Ergo Phizmiz,musicgen,sample_03239,Pop,train
Food and War - Ergo Phizmiz,producer,sample_01687,Pop,train
Food and War - Ergo Phizmiz,songgen,sample_01906,Pop,train
Food and War - Ergo Phizmiz,stableaudio,sample_02727,Pop,train
Food and War - Ergo Phizmiz,suno,sample_02189,Pop,train
Food and War - Ergo Phizmiz,udio,sample_02489,Pop,train
Forest Silence - Serpentarivm,acestep,sample_00371,Rock,train
Forest Silence - Serpentarivm,audioldm,sample_00784,Rock,train
Forest Silence - Serpentarivm,brev,sample_01094,Rock,train
Forest Silence - Serpentarivm,diffrhythm,sample_01399,Rock,train
Forest Silence - Serpentarivm,elevenlabs,sample_02927,Rock,train
Forest Silence - Serpentarivm,mubert,sample_01585,Rock,train
Forest Silence - Serpentarivm,musicgen,sample_03240,Rock,train
Forest Silence - Serpentarivm,producer,sample_01736,Rock,train
Forest Silence - Serpentarivm,songgen,sample_01991,Rock,train
Forest Silence - Serpentarivm,stableaudio,sample_02804,Rock,train
Forest Silence - Serpentarivm,suno,sample_02285,Rock,train
Forest Silence - Serpentarivm,udio,sample_02585,Rock,train
Formic Acid for Blood - Punk Rock Opera,acestep,sample_00372,Rock,train
Formic Acid for Blood - Punk Rock Opera,audioldm,sample_00815,Rock,train
Formic Acid for Blood - Punk Rock Opera,brev,sample_01096,Rock,train
Formic Acid for Blood - Punk Rock Opera,diffrhythm,sample_01400,Rock,train
Formic Acid for Blood - Punk Rock Opera,elevenlabs,sample_02929,Rock,train
Formic Acid for Blood - Punk Rock Opera,mubert,sample_01598,Rock,train
Formic Acid for Blood - Punk Rock Opera,musicgen,sample_03241,Rock,train
Formic Acid for Blood - Punk Rock Opera,producer,sample_01737,Rock,train
Formic Acid for Blood - Punk Rock Opera,songgen,sample_01992,Rock,train
Formic Acid for Blood - Punk Rock Opera,stableaudio,sample_02805,Rock,train
Formic Acid for Blood - Punk Rock Opera,suno,sample_02287,Rock,train
Formic Acid for Blood - Punk Rock Opera,udio,sample_02587,Rock,train
Fuckaboing - RoccoW,acestep,sample_00375,Electronic,test
Fuckaboing - RoccoW,audioldm,sample_00611,Electronic,test
Fuckaboing - RoccoW,brev,sample_00910,Electronic,test
Fuckaboing - RoccoW,diffrhythm,sample_01216,Electronic,test
Fuckaboing - RoccoW,elevenlabs,sample_02931,Electronic,test
Fuckaboing - RoccoW,mubert,sample_01484,Electronic,test
Fuckaboing - RoccoW,musicgen,sample_03244,Electronic,test
Fuckaboing - RoccoW,producer,sample_01643,Electronic,test
Fuckaboing - RoccoW,songgen,sample_01815,Electronic,test
Fuckaboing - RoccoW,stableaudio,sample_02683,Electronic,test
Fuckaboing - RoccoW,suno,sample_02101,Electronic,test
Fuckaboing - RoccoW,udio,sample_02401,Electronic,test
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,acestep,sample_00376,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,audioldm,sample_00773,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,brev,sample_01098,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,diffrhythm,sample_01402,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,elevenlabs,sample_02933,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,mubert,sample_01593,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,musicgen,sample_03245,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,producer,sample_01738,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,songgen,sample_01994,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,stableaudio,sample_02806,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,suno,sample_02289,Rock,val
Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,udio,sample_02589,Rock,val
"Go On, Then - Jim Rooster",acestep,sample_00379,Electronic,train
"Go On, Then - Jim Rooster",audioldm,sample_00655,Electronic,train
"Go On, Then - Jim Rooster",brev,sample_00912,Electronic,train
"Go On, Then - Jim Rooster",diffrhythm,sample_01217,Electronic,train
"Go On, Then - Jim Rooster",elevenlabs,sample_02935,Electronic,train
"Go On, Then - Jim Rooster",mubert,sample_01498,Electronic,train
"Go On, Then - Jim Rooster",musicgen,sample_03248,Electronic,train
"Go On, Then - Jim Rooster",producer,sample_01644,Electronic,train
"Go On, Then - Jim Rooster",songgen,sample_01816,Electronic,train
"Go On, Then - Jim Rooster",stableaudio,sample_02684,Electronic,train
"Go On, Then - Jim Rooster",suno,sample_02103,Electronic,train
"Go On, Then - Jim Rooster",udio,sample_02403,Electronic,train
Hammer and a Nail - Vienna Ditto,acestep,sample_00382,Electronic,train
Hammer and a Nail - Vienna Ditto,audioldm,sample_00592,Electronic,train
Hammer and a Nail - Vienna Ditto,brev,sample_00914,Electronic,train
Hammer and a Nail - Vienna Ditto,diffrhythm,sample_01218,Electronic,train
Hammer and a Nail - Vienna Ditto,elevenlabs,sample_02937,Electronic,train
Hammer and a Nail - Vienna Ditto,mubert,sample_01502,Electronic,train
Hammer and a Nail - Vienna Ditto,musicgen,sample_03251,Electronic,train
Hammer and a Nail - Vienna Ditto,producer,sample_01645,Electronic,train
Hammer and a Nail - Vienna Ditto,songgen,sample_01817,Electronic,train
Hammer and a Nail - Vienna Ditto,stableaudio,sample_02685,Electronic,train
Hammer and a Nail - Vienna Ditto,suno,sample_02105,Electronic,train
Hammer and a Nail - Vienna Ditto,udio,sample_02405,Electronic,train
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",acestep,sample_00384,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",audioldm,sample_00794,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",brev,sample_01100,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",diffrhythm,sample_01407,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",elevenlabs,sample_02939,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",mubert,sample_01623,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",musicgen,sample_03253,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",producer,sample_01739,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",songgen,sample_01999,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",stableaudio,sample_02808,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",suno,sample_02291,Rock,test
"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",udio,sample_02591,Rock,test
I - Nocturnal Mayhem,acestep,sample_00401,Rock,train
I - Nocturnal Mayhem,audioldm,sample_00782,Rock,train
I - Nocturnal Mayhem,brev,sample_01128,Rock,train
I - Nocturnal Mayhem,diffrhythm,sample_01417,Rock,train
I - Nocturnal Mayhem,elevenlabs,sample_02949,Rock,train
I - Nocturnal Mayhem,mubert,sample_01583,Rock,train
I - Nocturnal Mayhem,musicgen,sample_03270,Rock,train
I - Nocturnal Mayhem,producer,sample_01753,Rock,train
I - Nocturnal Mayhem,songgen,sample_02009,Rock,train
I - Nocturnal Mayhem,stableaudio,sample_02816,Rock,train
I - Nocturnal Mayhem,suno,sample_02319,Rock,train
I - Nocturnal Mayhem,udio,sample_02619,Rock,train
I Dream So Vividly - Uninhabitable Mansions,acestep,sample_00396,Rock,train
I Dream So Vividly - Uninhabitable Mansions,audioldm,sample_00795,Rock,train
I Dream So Vividly - Uninhabitable Mansions,brev,sample_01102,Rock,train
I Dream So Vividly - Uninhabitable Mansions,diffrhythm,sample_01414,Rock,train
I Dream So Vividly - Uninhabitable Mansions,elevenlabs,sample_02943,Rock,train
I Dream So Vividly - Uninhabitable Mansions,mubert,sample_01606,Rock,train
I Dream So Vividly - Uninhabitable Mansions,musicgen,sample_03265,Rock,train
I Dream So Vividly - Uninhabitable Mansions,producer,sample_01740,Rock,train
I Dream So Vividly - Uninhabitable Mansions,songgen,sample_02006,Rock,train
I Dream So Vividly - Uninhabitable Mansions,stableaudio,sample_02815,Rock,train
I Dream So Vividly - Uninhabitable Mansions,suno,sample_02293,Rock,train
I Dream So Vividly - Uninhabitable Mansions,udio,sample_02593,Rock,train
I Think From Now On - Caleb Lemond,acestep,sample_00402,Pop,train
I Think From Now On - Caleb Lemond,audioldm,sample_00739,Pop,train
I Think From Now On - Caleb Lemond,brev,sample_01004,Pop,train
I Think From Now On - Caleb Lemond,diffrhythm,sample_01310,Pop,train
I Think From Now On - Caleb Lemond,elevenlabs,sample_02951,Pop,train
I Think From Now On - Caleb Lemond,mubert,sample_01544,Pop,train
I Think From Now On - Caleb Lemond,musicgen,sample_03271,Pop,train
I Think From Now On - Caleb Lemond,producer,sample_01690,Pop,train
I Think From Now On - Caleb Lemond,songgen,sample_01910,Pop,train
I Think From Now On - Caleb Lemond,stableaudio,sample_02731,Pop,train
I Think From Now On - Caleb Lemond,suno,sample_02195,Pop,train
I Think From Now On - Caleb Lemond,udio,sample_02495,Pop,train
Improvisation - Broken Chord,acestep,sample_00388,Electronic,train
Improvisation - Broken Chord,audioldm,sample_00616,Electronic,train
Improvisation - Broken Chord,brev,sample_00916,Electronic,train
Improvisation - Broken Chord,diffrhythm,sample_01220,Electronic,train
Improvisation - Broken Chord,elevenlabs,sample_02953,Electronic,train
Improvisation - Broken Chord,mubert,sample_01506,Electronic,train
