segment_id,track_sample_id,original_audio,label,label_id,genre,generator,split,cache_index
seg_000070,sample_00023,Autobahn - S-B-J,REAL,0,Electronic,,train,70
seg_000071,sample_00023,Autobahn - S-B-J,REAL,0,Electronic,,train,71
seg_000072,sample_00024,"Autopsy - Oh Yeah, the Future",REAL,0,Pop,,train,72
seg_000073,sample_00024,"Autopsy - Oh Yeah, the Future",REAL,0,Pop,,train,73
seg_000074,sample_00024,"Autopsy - Oh Yeah, the Future",REAL,0,Pop,,train,74
seg_000075,sample_00025,Bergwald Bergwald - Every Now and Every Then,REAL,0,Rock,,train,75
seg_000076,sample_00025,Bergwald Bergwald - Every Now and Every Then,REAL,0,Rock,,train,76
seg_000077,sample_00025,Bergwald Bergwald - Every Now and Every Then,REAL,0,Rock,,train,77
seg_000078,sample_00026,Better Run Away From Me - Miss Derringer,REAL,0,Rock,,train,78
seg_000079,sample_00026,Better Run Away From Me - Miss Derringer,REAL,0,Rock,,train,79
seg_000080,sample_00026,Better Run Away From Me - Miss Derringer,REAL,0,Rock,,train,80
seg_000081,sample_00027,Beyond Luxury - Mors Ontologica,REAL,0,Rock,,val,81
seg_000082,sample_00027,Beyond Luxury - Mors Ontologica,REAL,0,Rock,,val,82
seg_000083,sample_00027,Beyond Luxury - Mors Ontologica,REAL,0,Rock,,val,83
seg_000084,sample_00028,Bizzy - The Tleilaxu Music Machine,REAL,0,Electronic,,test,84
seg_000085,sample_00028,Bizzy - The Tleilaxu Music Machine,REAL,0,Electronic,,test,85
seg_000086,sample_00028,Bizzy - The Tleilaxu Music Machine,REAL,0,Electronic,,test,86
seg_000087,sample_00029,Black Panda - The Crypts!,REAL,0,Rock,,train,87
seg_000088,sample_00029,Black Panda - The Crypts!,REAL,0,Rock,,train,88
seg_000089,sample_00029,Black Panda - The Crypts!,REAL,0,Rock,,train,89
seg_000090,sample_00030,Breathe New Life - Scott Holmes,REAL,0,Rock,,train,90
seg_000091,sample_00030,Breathe New Life - Scott Holmes,REAL,0,Rock,,train,91
seg_000092,sample_00030,Breathe New Life - Scott Holmes,REAL,0,Rock,,train,92
seg_000093,sample_00031,Breeze Funk - Malaventura,REAL,0,Pop,,train,93
seg_000094,sample_00031,Breeze Funk - Malaventura,REAL,0,Pop,,train,94
seg_000095,sample_00031,Breeze Funk - Malaventura,REAL,0,Pop,,train,95
seg_000096,sample_00032,Burn - Room For A Ghost,REAL,0,Rock,,train,96
seg_000097,sample_00032,Burn - Room For A Ghost,REAL,0,Rock,,train,97
seg_000098,sample_00032,Burn - Room For A Ghost,REAL,0,Rock,,train,98
seg_000099,sample_00033,Busby Berkeley - Ergo Phizmiz,REAL,0,Pop,,train,99
seg_000100,sample_00033,Busby Berkeley - Ergo Phizmiz,REAL,0,Pop,,train,100
seg_000101,sample_00033,Busby Berkeley - Ergo Phizmiz,REAL,0,Pop,,train,101
seg_000102,sample_00034,Cassie Lace - The Zombie Dandies,REAL,0,Rock,,train,102
seg_000103,sample_00034,Cassie Lace - The Zombie Dandies,REAL,0,Rock,,train,103
seg_000104,sample_00034,Cassie Lace - The Zombie Dandies,REAL,0,Rock,,train,104
seg_000105,sample_00035,Celia - Ergo Phizmiz,REAL,0,Pop,,train,105
seg_000106,sample_00035,Celia - Ergo Phizmiz,REAL,0,Pop,,train,106
seg_000107,sample_00035,Celia - Ergo Phizmiz,REAL,0,Pop,,train,107
seg_000108,sample_00036,Chipho instrumental - RoccoW,REAL,0,Electronic,,train,108
seg_000109,sample_00036,Chipho instrumental - RoccoW,REAL,0,Electronic,,train,109
seg_000110,sample_00036,Chipho instrumental - RoccoW,REAL,0,Electronic,,train,110
seg_000111,sample_00037,Clay Heart - Nihilore,REAL,0,Electronic,,train,111
seg_000112,sample_00037,Clay Heart - Nihilore,REAL,0,Electronic,,train,112
seg_000113,sample_00037,Clay Heart - Nihilore,REAL,0,Electronic,,train,113
seg_000114,sample_00038,Cloudy - Subway Sonicbeat,REAL,0,Electronic,,train,114
seg_000115,sample_00038,Cloudy - Subway Sonicbeat,REAL,0,Electronic,,train,115
seg_000116,sample_00038,Cloudy - Subway Sonicbeat,REAL,0,Electronic,,train,116
seg_000117,sample_00039,Cold Chains - Rolemusic,REAL,0,Electronic,,train,117
seg_000118,sample_00039,Cold Chains - Rolemusic,REAL,0,Electronic,,train,118
seg_000119,sample_00039,Cold Chains - Rolemusic,REAL,0,Electronic,,train,119
seg_000120,sample_00040,Coliidae - K.D. Expression,REAL,0,Electronic,,train,120
seg_000121,sample_00040,Coliidae - K.D. Expression,REAL,0,Electronic,,train,121
seg_000122,sample_00040,Coliidae - K.D. Expression,REAL,0,Electronic,,train,122
seg_000123,sample_00041,Colossal Stillness - Scott Holmes,REAL,0,Rock,,train,123
seg_000124,sample_00041,Colossal Stillness - Scott Holmes,REAL,0,Rock,,train,124
seg_000125,sample_00041,Colossal Stillness - Scott Holmes,REAL,0,Rock,,train,125
seg_000126,sample_00042,Convicted Jazz Drones - Malaventura,REAL,0,Pop,,train,126
seg_000127,sample_00042,Convicted Jazz Drones - Malaventura,REAL,0,Pop,,train,127
seg_000128,sample_00042,Convicted Jazz Drones - Malaventura,REAL,0,Pop,,train,128
seg_000129,sample_00043,CopperNickle - UncleBibby,REAL,0,Electronic,,val,129
seg_000130,sample_00043,CopperNickle - UncleBibby,REAL,0,Electronic,,val,130
seg_000131,sample_00043,CopperNickle - UncleBibby,REAL,0,Electronic,,val,131
seg_000132,sample_00044,Crossing - Los Llamarada,REAL,0,Rock,,train,132
seg_000133,sample_00044,Crossing - Los Llamarada,REAL,0,Rock,,train,133
seg_000134,sample_00044,Crossing - Los Llamarada,REAL,0,Rock,,train,134
seg_000135,sample_00045,Dance Harder - Three Chain Links,REAL,0,Electronic,,test,135
seg_000136,sample_00045,Dance Harder - Three Chain Links,REAL,0,Electronic,,test,136
seg_000137,sample_00045,Dance Harder - Three Chain Links,REAL,0,Electronic,,test,137
seg_000138,sample_00046,Dance of the Martians (SynthStep Edit) - Maxim Kornyshev,REAL,0,Electronic,,train,138
seg_000139,sample_00046,Dance of the Martians (SynthStep Edit) - Maxim Kornyshev,REAL,0,Electronic,,train,139
seg_000140,sample_00046,Dance of the Martians (SynthStep Edit) - Maxim Kornyshev,REAL,0,Electronic,,train,140
seg_000141,sample_00047,Daylight Savings - My brother Daniel,REAL,0,Electronic,,val,141
seg_000142,sample_00047,Daylight Savings - My brother Daniel,REAL,0,Electronic,,val,142
seg_000143,sample_00047,Daylight Savings - My brother Daniel,REAL,0,Electronic,,val,143
seg_000144,sample_00048,Demolition - Michett,REAL,0,Rock,,train,144
seg_000145,sample_00048,Demolition - Michett,REAL,0,Rock,,train,145
seg_000146,sample_00048,Demolition - Michett,REAL,0,Rock,,train,146
seg_000147,sample_00049,Different Day - First,REAL,0,Pop,,test,147
seg_000148,sample_00049,Different Day - First,REAL,0,Pop,,test,148
seg_000149,sample_00049,Different Day - First,REAL,0,Pop,,test,149
seg_000150,sample_00050,Digital Lightning - Cloudkicker,REAL,0,Rock,,train,150
seg_000151,sample_00050,Digital Lightning - Cloudkicker,REAL,0,Rock,,train,151
seg_000152,sample_00050,Digital Lightning - Cloudkicker,REAL,0,Rock,,train,152
seg_000153,sample_00051,Don't want to be your man - Frigg A Go Go (F.A.G.G.),REAL,0,Rock,,train,153
seg_000154,sample_00051,Don't want to be your man - Frigg A Go Go (F.A.G.G.),REAL,0,Rock,,train,154
seg_000155,sample_00051,Don't want to be your man - Frigg A Go Go (F.A.G.G.),REAL,0,Rock,,train,155
seg_000156,sample_00052,Dr Deimos-Scribble - Mizuki's Last Chance/Dr Deimos,REAL,0,Electronic,,train,156
seg_000157,sample_00052,Dr Deimos-Scribble - Mizuki's Last Chance/Dr Deimos,REAL,0,Electronic,,train,157
seg_000158,sample_00052,Dr Deimos-Scribble - Mizuki's Last Chance/Dr Deimos,REAL,0,Electronic,,train,158
seg_000159,sample_00053,Dr. Bodysnatcher - Modey Lemon,REAL,0,Rock,,train,159
seg_000160,sample_00053,Dr. Bodysnatcher - Modey Lemon,REAL,0,Rock,,train,160
seg_000161,sample_00053,Dr. Bodysnatcher - Modey Lemon,REAL,0,Rock,,train,161
seg_000162,sample_00054,Dreams - ENDRUDARK,REAL,0,Electronic,,train,162
seg_000163,sample_00054,Dreams - ENDRUDARK,REAL,0,Electronic,,train,163
seg_000164,sample_00054,Dreams - ENDRUDARK,REAL,0,Electronic,,train,164
seg_000165,sample_00055,Edge - Mystery Mammal,REAL,0,Electronic,,train,165
seg_000166,sample_00055,Edge - Mystery Mammal,REAL,0,Electronic,,train,166
seg_000167,sample_00055,Edge - Mystery Mammal,REAL,0,Electronic,,train,167
seg_000168,sample_00056,El Burrito - Malaventura,REAL,0,Pop,,test,168
seg_000169,sample_00056,El Burrito - Malaventura,REAL,0,Pop,,test,169
seg_000170,sample_00056,El Burrito - Malaventura,REAL,0,Pop,,test,170
seg_000171,sample_00057,Electric Girlfriend - The Zombie Dandies,REAL,0,Rock,,train,171
seg_000172,sample_00057,Electric Girlfriend - The Zombie Dandies,REAL,0,Rock,,train,172
seg_000173,sample_00057,Electric Girlfriend - The Zombie Dandies,REAL,0,Rock,,train,173
seg_000174,sample_00058,Empower Thee - vargero,REAL,0,Electronic,,train,174
seg_000175,sample_00058,Empower Thee - vargero,REAL,0,Electronic,,train,175
seg_000176,sample_00058,Empower Thee - vargero,REAL,0,Electronic,,train,176
seg_000177,sample_00059,Empty Pockets - Pete Prodoehl,REAL,0,Rock,,val,177
seg_000178,sample_00059,Empty Pockets - Pete Prodoehl,REAL,0,Rock,,val,178
seg_000179,sample_00059,Empty Pockets - Pete Prodoehl,REAL,0,Rock,,val,179
seg_000180,sample_00060,End of the Line - H-LR,REAL,0,Electronic,,train,180
seg_000181,sample_00060,End of the Line - H-LR,REAL,0,Electronic,,train,181
seg_000182,sample_00060,End of the Line - H-LR,REAL,0,Electronic,,train,182
seg_000183,sample_00061,End titles - Itsensäsyöjät,REAL,0,Electronic,,test,183
seg_000184,sample_00061,End titles - Itsensäsyöjät,REAL,0,Electronic,,test,184
seg_000185,sample_00061,End titles - Itsensäsyöjät,REAL,0,Electronic,,test,185
seg_000186,sample_00062,Endless - The Birth and Death of Silence,REAL,0,Electronic,,train,186
seg_000187,sample_00062,Endless - The Birth and Death of Silence,REAL,0,Electronic,,train,187
seg_000188,sample_00062,Endless - The Birth and Death of Silence,REAL,0,Electronic,,train,188
seg_000189,sample_00063,Enemy - Modey Lemon,REAL,0,Rock,,train,189
seg_000190,sample_00063,Enemy - Modey Lemon,REAL,0,Rock,,train,190
seg_000191,sample_00063,Enemy - Modey Lemon,REAL,0,Rock,,train,191
seg_000192,sample_00064,Enthalpy - Rolemusic,REAL,0,Electronic,,train,192
seg_000193,sample_00064,Enthalpy - Rolemusic,REAL,0,Electronic,,train,193
seg_000194,sample_00064,Enthalpy - Rolemusic,REAL,0,Electronic,,train,194
seg_000195,sample_00065,Evil Cannot Create - Caleb Lemond,REAL,0,Pop,,val,195
seg_000196,sample_00065,Evil Cannot Create - Caleb Lemond,REAL,0,Pop,,val,196
seg_000197,sample_00065,Evil Cannot Create - Caleb Lemond,REAL,0,Pop,,val,197
seg_000198,sample_00066,Eyes Getting Louder - Mod Fun,REAL,0,Rock,,train,198
seg_000199,sample_00066,Eyes Getting Louder - Mod Fun,REAL,0,Rock,,train,199
seg_000200,sample_00066,Eyes Getting Louder - Mod Fun,REAL,0,Rock,,train,200
seg_000201,sample_00067,Fear - Los Fancy Free,REAL,0,Rock,,val,201
seg_000202,sample_00067,Fear - Los Fancy Free,REAL,0,Rock,,val,202
seg_000203,sample_00067,Fear - Los Fancy Free,REAL,0,Rock,,val,203
seg_000204,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,REAL,0,Electronic,,val,204
seg_000205,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,REAL,0,Electronic,,val,205
seg_000206,sample_00068,Fifth Ramble - From the album Keith [RSVP007] - My brother Daniel,REAL,0,Electronic,,val,206
seg_000207,sample_00069,"First Glance - Oh Yeah, the Future",REAL,0,Pop,,train,207
seg_000208,sample_00069,"First Glance - Oh Yeah, the Future",REAL,0,Pop,,train,208
seg_000209,sample_00069,"First Glance - Oh Yeah, the Future",REAL,0,Pop,,train,209
seg_000210,sample_00070,Five 40 Derby/Slow Whistle - The Crypts!,REAL,0,Rock,,train,210
seg_000211,sample_00070,Five 40 Derby/Slow Whistle - The Crypts!,REAL,0,Rock,,train,211
seg_000212,sample_00070,Five 40 Derby/Slow Whistle - The Crypts!,REAL,0,Rock,,train,212
seg_000213,sample_00071,Flashback - Seclorance,REAL,0,Electronic,,train,213
seg_000214,sample_00071,Flashback - Seclorance,REAL,0,Electronic,,train,214
seg_000215,sample_00071,Flashback - Seclorance,REAL,0,Electronic,,train,215
seg_000216,sample_00072,Fleslit - Fleslit,REAL,0,Electronic,,train,216
seg_000217,sample_00072,Fleslit - Fleslit,REAL,0,Electronic,,train,217
seg_000218,sample_00072,Fleslit - Fleslit,REAL,0,Electronic,,train,218
seg_000219,sample_00073,Fly 2 - Andre Jetson,REAL,0,Electronic,,train,219
seg_000220,sample_00073,Fly 2 - Andre Jetson,REAL,0,Electronic,,train,220
seg_000221,sample_00073,Fly 2 - Andre Jetson,REAL,0,Electronic,,train,221
seg_000222,sample_00074,Food and War - Ergo Phizmiz,REAL,0,Pop,,train,222
seg_000223,sample_00074,Food and War - Ergo Phizmiz,REAL,0,Pop,,train,223
seg_000224,sample_00074,Food and War - Ergo Phizmiz,REAL,0,Pop,,train,224
seg_000225,sample_00075,Forest Silence - Serpentarivm,REAL,0,Rock,,train,225
seg_000226,sample_00075,Forest Silence - Serpentarivm,REAL,0,Rock,,train,226
seg_000227,sample_00075,Forest Silence - Serpentarivm,REAL,0,Rock,,train,227
seg_000228,sample_00076,Formic Acid for Blood - Punk Rock Opera,REAL,0,Rock,,train,228
seg_000229,sample_00076,Formic Acid for Blood - Punk Rock Opera,REAL,0,Rock,,train,229
seg_000230,sample_00076,Formic Acid for Blood - Punk Rock Opera,REAL,0,Rock,,train,230
seg_000231,sample_00077,Four and a Half Tatami - Nihilore,REAL,0,Electronic,,train,231
seg_000232,sample_00077,Four and a Half Tatami - Nihilore,REAL,0,Electronic,,train,232
seg_000233,sample_00077,Four and a Half Tatami - Nihilore,REAL,0,Electronic,,train,233
seg_000234,sample_00078,Fridge - Railkid Station,REAL,0,Rock,,train,234
seg_000235,sample_00078,Fridge - Railkid Station,REAL,0,Rock,,train,235
seg_000236,sample_00078,Fridge - Railkid Station,REAL,0,Rock,,train,236
seg_000237,sample_00079,Fuckaboing - RoccoW,REAL,0,Electronic,,test,237
seg_000238,sample_00079,Fuckaboing - RoccoW,REAL,0,Electronic,,test,238
seg_000239,sample_00079,Fuckaboing - RoccoW,REAL,0,Electronic,,test,239
seg_000240,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,REAL,0,Rock,,val,240
seg_000241,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,REAL,0,Rock,,val,241
seg_000242,sample_00080,Gila Monster Flop/Music History Lesson:The Sonics - The Crypts!,REAL,0,Rock,,val,242
seg_000243,sample_00081,Gloomy Sunday - AmortE,REAL,0,Rock,,train,243
seg_000244,sample_00081,Gloomy Sunday - AmortE,REAL,0,Rock,,train,244
seg_000245,sample_00081,Gloomy Sunday - AmortE,REAL,0,Rock,,train,245
seg_000246,sample_00082,"Go On, Then - Jim Rooster",REAL,0,Electronic,,train,246
seg_000247,sample_00082,"Go On, Then - Jim Rooster",REAL,0,Electronic,,train,247
seg_000248,sample_00082,"Go On, Then - Jim Rooster",REAL,0,Electronic,,train,248
seg_000249,sample_00083,Hahaha - The Moi Non Plus,REAL,0,Rock,,train,249
seg_000250,sample_00083,Hahaha - The Moi Non Plus,REAL,0,Rock,,train,250
seg_000251,sample_00083,Hahaha - The Moi Non Plus,REAL,0,Rock,,train,251
seg_000252,sample_00084,Half a Doubt - Droopies,REAL,0,Rock,,train,252
seg_000253,sample_00084,Half a Doubt - Droopies,REAL,0,Rock,,train,253
seg_000254,sample_00084,Half a Doubt - Droopies,REAL,0,Rock,,train,254
seg_000255,sample_00085,Hammer and a Nail - Vienna Ditto,REAL,0,Electronic,,train,255
seg_000256,sample_00085,Hammer and a Nail - Vienna Ditto,REAL,0,Electronic,,train,256
seg_000257,sample_00085,Hammer and a Nail - Vienna Ditto,REAL,0,Electronic,,train,257
seg_000258,sample_00086,Happy - Lamprey,REAL,0,Rock,,train,258
seg_000259,sample_00086,Happy - Lamprey,REAL,0,Rock,,train,259
seg_000260,sample_00086,Happy - Lamprey,REAL,0,Rock,,train,260
seg_000261,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",REAL,0,Rock,,test,261
seg_000262,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",REAL,0,Rock,,test,262
seg_000263,sample_00087,"Head of Ancante, Talking Tree - Ak'chamel, The Giver of Illness",REAL,0,Rock,,test,263
seg_000264,sample_00088,Hisko Detria - Hisko Detria,REAL,0,Rock,,train,264
seg_000265,sample_00088,Hisko Detria - Hisko Detria,REAL,0,Rock,,train,265
seg_000266,sample_00088,Hisko Detria - Hisko Detria,REAL,0,Rock,,train,266
seg_000267,sample_00089,"Hungry - Oh Yeah, the Future",REAL,0,Pop,,test,267
seg_000268,sample_00089,"Hungry - Oh Yeah, the Future",REAL,0,Pop,,test,268
seg_000269,sample_00089,"Hungry - Oh Yeah, the Future",REAL,0,Pop,,test,269
seg_000270,sample_00090,I - Inflammator,REAL,0,Rock,,test,270
seg_000271,sample_00090,I - Inflammator,REAL,0,Rock,,test,271
seg_000272,sample_00090,I - Inflammator,REAL,0,Rock,,test,272
seg_000273,sample_00091,I - Nocturnal Mayhem,REAL,0,Rock,,train,273
seg_000274,sample_00091,I - Nocturnal Mayhem,REAL,0,Rock,,train,274
seg_000275,sample_00091,I - Nocturnal Mayhem,REAL,0,Rock,,train,275
seg_000276,sample_00092,I Can See Everything - Mod Fun,REAL,0,Rock,,train,276
seg_000277,sample_00092,I Can See Everything - Mod Fun,REAL,0,Rock,,train,277
seg_000278,sample_00092,I Can See Everything - Mod Fun,REAL,0,Rock,,train,278
seg_000279,sample_00093,I Close My Eyes - Miss Derringer,REAL,0,Rock,,train,279
seg_000280,sample_00093,I Close My Eyes - Miss Derringer,REAL,0,Rock,,train,280
seg_000281,sample_00093,I Close My Eyes - Miss Derringer,REAL,0,Rock,,train,281
seg_000282,sample_00094,I Dream So Vividly - Uninhabitable Mansions,REAL,0,Rock,,train,282
seg_000283,sample_00094,I Dream So Vividly - Uninhabitable Mansions,REAL,0,Rock,,train,283
seg_000284,sample_00094,I Dream So Vividly - Uninhabitable Mansions,REAL,0,Rock,,train,284
seg_000285,sample_00095,I Fell - Mod Fun,REAL,0,Rock,,val,285
seg_000286,sample_00095,I Fell - Mod Fun,REAL,0,Rock,,val,286
seg_000287,sample_00095,I Fell - Mod Fun,REAL,0,Rock,,val,287
seg_000288,sample_00096,I Know His Blood - Vienna Ditto,REAL,0,Electronic,,train,288
seg_000289,sample_00096,I Know His Blood - Vienna Ditto,REAL,0,Electronic,,train,289
seg_000290,sample_00096,I Know His Blood - Vienna Ditto,REAL,0,Electronic,,train,290
seg_000291,sample_00097,I Think From Now On - Caleb Lemond,REAL,0,Pop,,train,291
seg_000292,sample_00097,I Think From Now On - Caleb Lemond,REAL,0,Pop,,train,292
seg_000293,sample_00097,I Think From Now On - Caleb Lemond,REAL,0,Pop,,train,293
seg_000294,sample_00098,I'm gonna try to reach - Los Llamarada,REAL,0,Rock,,train,294
seg_000295,sample_00098,I'm gonna try to reach - Los Llamarada,REAL,0,Rock,,train,295
seg_000296,sample_00098,I'm gonna try to reach - Los Llamarada,REAL,0,Rock,,train,296
seg_000297,sample_00099,If You're Ther - Nicola Ratti,REAL,0,Electronic,,val,297
seg_000298,sample_00099,If You're Ther - Nicola Ratti,REAL,0,Electronic,,val,298
seg_000299,sample_00099,If You're Ther - Nicola Ratti,REAL,0,Electronic,,val,299
seg_000300,sample_00100,Improvisation - Broken Chord,REAL,0,Electronic,,train,300
seg_000301,sample_00100,Improvisation - Broken Chord,REAL,0,Electronic,,train,301
seg_000302,sample_00100,Improvisation - Broken Chord,REAL,0,Electronic,,train,302
seg_000303,sample_00101,Infinite Light - Pipe Choir,REAL,0,Rock,,train,303
seg_000304,sample_00101,Infinite Light - Pipe Choir,REAL,0,Rock,,train,304
seg_000305,sample_00101,Infinite Light - Pipe Choir,REAL,0,Rock,,train,305
seg_000306,sample_00102,Insectlaration of Independence - Punk Rock Opera,REAL,0,Rock,,train,306
seg_000307,sample_00102,Insectlaration of Independence - Punk Rock Opera,REAL,0,Rock,,train,307
seg_000308,sample_00102,Insectlaration of Independence - Punk Rock Opera,REAL,0,Rock,,train,308
seg_000309,sample_00103,Introduction beats - Itsensäsyöjät,REAL,0,Electronic,,train,309
seg_000310,sample_00103,Introduction beats - Itsensäsyöjät,REAL,0,Electronic,,train,310
seg_000311,sample_00103,Introduction beats - Itsensäsyöjät,REAL,0,Electronic,,train,311
seg_000312,sample_00104,Invaders From Within - Monroeville Music Center,REAL,0,Pop,,train,312
